1590617400000,78.0,9106.1,9137.0,9105.2,9136.0,4011.0,9120.508376963350785340314136125654450261780104712
1590617700000,73.0,9135.4,9135.7,9123.7,9125.8,3636.0,9129.6234873487348734873487348734873487348734873487
1590618000000,53.0,9126.2,9141.6,9118.1,9118.1,614.0,9131.0620521172638436482084690553745928338762214984
1590618300000,53.0,9119.5,9126.7,9109.1,9125.3,2156.0,9117.767996289424860853432282003710575139146567718
1590618600000,37.0,9125.2,9127.1,9110.1,9117.9,835.0,9114.7623952095808383233532934131736526946107784431
1590618900000,38.0,9116.9,9131.9,9114.2,9131.9,1605.0,9120.7718380062305295950155763239875389408099688474
1590619200000,52.0,9132.0,9135.6,9124.1,9124.5,1699.0,9129.7948793407886992348440258975868157739846968805
1590619500000,49.0,9125.7,9125.7,9108.4,9113.4,819.0,9116.4681318681318681318681318681318681318681318681
1590619800000,37.0,9114.0,9117.9,9112.6,9114.4,2122.0,9115.0735626767200754005655042412818096135721017908
1590620100000,80.0,9114.0,9115.8,9100.1,9115.6,741.0,9105.8997300944669365721997300944669365721997300945
1590620400000,53.0,9114.4,9123.9,9108.1,9109.0,1552.0,9115.3449097938144329896907216494845360824742268041
1590620700000,39.0,9109.1,9116.0,9106.4,9116.0,713.0,9111.5667601683029453015427769985974754558204768583
1590621000000,84.0,9116.2,9135.9,9116.2,9134.5,2151.0,9130.110971641097164109716410971641097164109716411
1590621300000,62.0,9134.5,9139.6,9130.1,9132.9,1604.0,9134.9781795511221945137157107231920199501246882793
1590621600000,107.0,9135.9,9159.7,9130.3,9149.1,4500.0,9148.7994222222222222222222222222222222222222222222
1590621900000,40.0,9151.1,9156.2,9144.9,9150.1,1141.0,9151.2469763365468886941279579316389132340052585451
1590622200000,99.0,9150.0,9178.0,9149.4,9173.2,4124.0,9166.3543889427740058195926285160038797284190106693
1590622500000,265.0,9175.7,9212.3,9172.5,9195.5,12385.0,9198.1296487686717803794913201453371013322567622124
